id,category,price,sales
210,Technology,476.79,12
211,Books,434.33,45
212,Books,187.95,25
213,Technology,360.81,30
214,Clothing,390.09,99
215,Food,66.36,74
216,Food,75.12,51
217,Technology,486.78,19
218,Clothing,379.12,86
219,Technology,434.31,38
220,Food,439.48,87
221,Food,201.12,82
222,Food,435.48,83
223,Food,245.24,62
224,Food,450.23,99
225,Books,101.22,74
226,Technology,495.42,38
227,Food,99.25,81
228,Books,65.09,45
229,Books,468.87,19
230,Books,242.62,89
231,Technology,369.07,68
232,Clothing,313.05,8
233,Technology,93.59,69
234,Books,416.36,55
235,Books,306.23,74
236,Clothing,406.11,74
237,Food,413.0,69
238,Clothing,321.81,91
239,Clothing,362.65,7
240,Technology,454.2,4
241,Clothing,278.63,76
242,Technology,402.28,49
243,Books,184.62,22
244,Technology,255.13,75
245,Food,293.98,11
246,Food,449.91,89
247,Books,93.69,94
248,Technology,128.59,1
249,Clothing,81.77,91
250,Clothing,127.42,25
251,Books,293.64,48
252,Food,54.88,15
253,Books,361.4,78
254,Technology,209.49,45
255,Food,256.4,100
256,Food,465.52,52
257,Technology,77.17,71
258,Food,269.29,73
259,Technology,435.53,75
260,Clothing,279.29,96
261,Books,223.4,65
262,Clothing,411.73,30
263,Food,151.11,40
264,Food,285.66,91
265,Food,452.5,93
266,Clothing,355.12,98
267,Technology,57.78,60
268,Clothing,356.79,64
269,Books,263.03,83
270,Technology,261.95,51
271,Technology,338.55,67
272,Technology,425.56,6
273,Clothing,299.9,17
274,Clothing,406.51,64
275,Food,283.93,2
276,Technology,55.78,42
277,Food,144.78,62
278,Technology,256.28,6
279,Clothing,476.27,53
280,Books,275.31,76
281,Books,16.84,52
282,Food,33.19,59
283,Books,42.42,99
284,Books,385.55,81
285,Technology,260.08,72
286,Clothing,259.67,50
287,Technology,259.79,98
288,Clothing,493.63,93
289,Food,408.17,68
290,Books,360.07,34
291,Technology,493.9,19
292,Clothing,496.8,15
293,Books,215.9,74
294,Technology,17.7,78
295,Technology,421.56,82
296,Technology,16.3,48
297,Food,465.01,49
298,Clothing,489.91,48
299,Clothing,480.72,75
300,Clothing,213.55,24
301,Technology,86.6,45
302,Clothing,116.84,13
303,Technology,194.77,26
304,Technology,492.93,49
305,Books,378.35,59
306,Clothing,464.75,20
307,Technology,324.81,71
308,Food,126.23,52
309,Books,103.84,17
310,Technology,65.63,93
311,Books,180.25,54
312,Technology,392.07,86
313,Technology,149.63,46
314,Clothing,225.59,44
315,Food,50.83,91
316,Books,195.93,54
317,Food,348.56,12
318,Books,30.76,40
319,Technology,62.71,46
320,Clothing,384.87,15
321,Food,498.29,59
322,Clothing,333.9,32
323,Books,413.56,98
324,Books,392.4,64
325,Books,362.56,42
326,Books,20.79,67
327,Technology,169.41,5
328,Clothing,72.78,75
329,Technology,80.78,33
330,Technology,242.05,68
331,Food,481.16,62
332,Food,171.76,5
333,Clothing,498.88,85
334,Clothing,264.22,74
335,Food,200.56,3
336,Books,383.52,4
337,Clothing,240.43,15
338,Technology,45.66,24
339,Food,29.38,93
340,Books,124.0,50
341,Technology,46.61,2
342,Food,273.38,17
343,Books,95.97,75
344,Books,14.34,55
345,Technology,356.31,37
346,Clothing,94.91,85
347,Food,378.85,1
348,Food,137.84,90
349,Technology,412.51,41
350,Technology,204.43,83
351,Technology,238.23,24
352,Food,481.95,88
353,Books,423.17,42
354,Food,475.52,44
355,Food,261.01,85
356,Books,188.12,80
357,Food,161.71,73
358,Clothing,144.2,12
359,Books,334.69,60
360,Books,449.98,89
361,Clothing,467.57,8
362,Food,135.57,21
363,Clothing,455.92,51
364,Technology,405.23,49
365,Technology,82.16,33
366,Technology,253.53,68
367,Technology,465.36,50
368,Food,329.05,2
369,Food,275.81,24
370,Books,416.97,33
371,Technology,47.97,86
372,Food,421.08,10
373,Food,52.03,90
374,Books,236.13,3
375,Books,322.88,76
376,Clothing,161.92,86
377,Technology,496.32,20
378,Food,341.44,58
379,Clothing,66.39,15
380,Books,233.22,54
381,Books,460.73,79
382,Books,282.16,44
383,Clothing,177.83,67
384,Clothing,300.0,29
385,Technology,297.17,82
386,Food,416.32,15
387,Food,142.61,82
388,Clothing,299.45,68
389,Technology,164.85,70
390,Food,130.52,76
391,Technology,254.07,51
392,Food,359.2,99
393,Clothing,170.64,60
394,Technology,141.72,53
395,Clothing,309.54,32
396,Books,57.88,35
397,Clothing,435.1,98
398,Clothing,491.05,95
399,Food,455.65,9
400,Food,78.9,65
401,Technology,499.56,64
402,Food,459.74,61
403,Food,324.62,38
404,Technology,403.37,32
405,Technology,168.9,7
406,Clothing,122.98,42
407,Clothing,423.01,28
408,Food,333.43,55
409,Books,66.56,96
410,Technology,366.94,22
411,Technology,429.06,97
412,Technology,416.6,54
413,Technology,398.88,78
414,Technology,274.14,89
415,Books,328.7,77
416,Technology,376.33,64
417,Clothing,229.96,45
418,Technology,174.5,53
419,Clothing,128.63,42
420,Food,471.15,28
421,Clothing,77.78,3
422,Clothing,284.25,63
423,Food,468.92,69
424,Technology,412.07,13
425,Food,383.53,44
426,Books,246.22,44
427,Technology,275.7,17
428,Books,321.69,51
429,Books,77.28,14
430,Technology,92.65,75
431,Technology,58.9,16
432,Books,139.28,5
433,Clothing,36.97,47
434,Books,251.39,32
435,Food,366.32,13
436,Technology,124.64,90
437,Clothing,487.35,24
438,Technology,416.03,75
439,Food,220.87,34
440,Books,134.51,31
441,Books,384.6,52
442,Clothing,396.21,1
443,Technology,255.24,74
444,Technology,84.94,80
445,Books,78.33,24
446,Food,84.28,24
447,Food,53.36,93
448,Technology,445.92,69
449,Food,50.74,95
450,Clothing,381.32,19
451,Clothing,112.1,26
452,Technology,322.06,35
453,Food,452.23,85
454,Clothing,292.29,16
455,Books,177.06,96
456,Food,404.63,8
457,Clothing,125.2,39
458,Books,414.36,91
459,Food,52.92,6
460,Technology,447.43,83
461,Books,373.25,20
462,Food,266.33,42
463,Technology,419.53,42
464,Books,50.21,11
465,Technology,84.31,19
466,Technology,78.27,56
467,Clothing,473.72,83
468,Books,386.45,91
469,Food,456.65,30
470,Food,84.97,96
471,Books,292.92,76
472,Technology,382.11,12
473,Clothing,330.26,67
474,Clothing,219.79,26
475,Technology,438.55,39
476,Clothing,122.99,59
477,Food,100.09,6
478,Food,176.2,21
479,Books,350.55,44
480,Food,34.85,2
481,Technology,234.62,4
482,Books,220.7,41
483,Food,397.12,61
484,Clothing,483.67,51
485,Technology,243.21,78
486,Food,34.71,62
487,Books,111.91,82
488,Books,288.12,20
489,Technology,368.87,20
490,Food,84.23,59
491,Books,373.48,25
492,Food,438.35,12
493,Technology,189.53,96
494,Clothing,31.25,68
495,Technology,104.54,66
496,Clothing,495.46,38
497,Food,454.22,73
498,Technology,23.39,2
499,Books,73.14,2
500,Books,342.88,73
501,Clothing,170.95,89
502,Books,19.51,5
503,Books,381.22,22
504,Food,346.82,70
505,Technology,39.68,32
506,Food,110.49,78
507,Books,239.6,50
508,Clothing,451.18,86
509,Technology,89.84,62
510,Technology,240.33,26
511,Clothing,54.79,96
512,Clothing,321.79,19
513,Books,206.82,12
514,Clothing,259.42,33
515,Food,283.37,20
516,Technology,217.92,19
517,Clothing,433.92,62
518,Books,32.71,74
519,Technology,167.47,73
520,Clothing,311.29,28
521,Technology,119.92,10
522,Food,352.67,1
523,Clothing,38.21,53
524,Food,393.72,43
525,Technology,194.07,78
526,Clothing,171.14,36
527,Food,309.54,92
528,Books,296.16,64
529,Technology,265.14,82
530,Clothing,407.65,72
531,Food,361.73,24
532,Books,404.56,62
533,Food,389.94,1
534,Technology,214.66,39
535,Technology,129.41,47
536,Clothing,87.51,39
537,Food,461.69,27
538,Clothing,176.22,45
539,Food,50.31,73
540,Books,305.49,43
541,Books,202.58,99
542,Food,245.79,10
543,Food,241.03,3
544,Books,173.54,50
545,Food,80.16,34
546,Technology,304.11,73
547,Technology,56.72,90
548,Food,448.8,96
549,Technology,393.58,75
550,Clothing,490.05,73
551,Books,270.86,99
552,Food,394.01,25
553,Technology,344.2,4
554,Food,119.88,94
555,Technology,56.45,30
556,Clothing,213.76,53
557,Food,159.17,3
558,Technology,148.68,54
559,Food,295.37,89
560,Food,273.32,78
561,Clothing,289.97,85
562,Technology,216.83,80
563,Technology,374.72,63
564,Books,428.03,58
565,Books,496.7,39
566,Books,340.34,73
567,Food,178.11,8
568,Clothing,67.84,45
569,Technology,411.74,64
570,Clothing,270.49,86
571,Clothing,111.67,25
572,Technology,265.94,91
573,Technology,334.74,45
574,Clothing,370.64,72
575,Clothing,411.76,27
576,Books,147.87,91
577,Technology,438.37,19
578,Technology,112.32,41
579,Clothing,115.81,71
580,Technology,343.13,60
581,Technology,239.32,20
582,Clothing,164.01,80
583,Technology,265.3,20
584,Books,23.76,18
585,Technology,145.2,2
586,Food,323.8,59
587,Clothing,270.77,47
588,Food,201.75,41
589,Technology,340.81,98
590,Technology,36.9,94
591,Technology,468.47,8
592,Books,209.07,70
593,Books,426.13,60
594,Books,73.93,52
595,Books,348.95,95
596,Food,350.67,25
597,Clothing,54.59,85
598,Technology,471.04,44
599,Clothing,340.2,95
600,Books,79.18,62
601,Technology,449.86,66
602,Food,380.63,73
603,Clothing,217.02,35
604,Technology,173.55,70
605,Books,63.01,73
606,Food,404.56,93
607,Technology,205.35,21
608,Books,20.37,49
609,Clothing,345.0,97
610,Books,156.97,66
611,Technology,21.96,50
612,Food,97.96,30
613,Food,72.74,39
614,Technology,447.81,90
615,Clothing,115.17,73
616,Clothing,270.95,12
617,Food,370.96,27
618,Books,429.22,27
619,Clothing,256.73,85
620,Food,91.24,33
621,Food,78.93,26
622,Clothing,42.7,55
623,Technology,188.43,53
624,Technology,37.14,14
625,Clothing,459.17,70
626,Food,309.28,61
627,Technology,391.02,19
628,Books,48.14,17
629,Books,352.59,84
630,Technology,88.21,6
631,Technology,487.19,21
632,Technology,138.78,77
633,Books,353.0,8
634,Technology,291.94,71
635,Clothing,411.48,60
636,Technology,485.54,54
637,Food,114.2,48
638,Food,450.98,8
639,Technology,285.67,38
640,Food,396.86,54
641,Clothing,481.1,87
642,Food,238.73,90
643,Clothing,271.39,75
644,Food,28.36,78
645,Clothing,489.11,90
646,Technology,331.31,14
647,Books,266.86,61
648,Books,155.45,76
649,Food,328.52,2
650,Food,124.42,22
651,Technology,196.84,52
652,Clothing,371.92,83
653,Books,376.01,1
654,Clothing,210.62,92
655,Books,302.84,27
656,Food,214.92,55
657,Clothing,174.22,54
658,Technology,17.52,37
659,Books,302.97,68
660,Technology,160.09,83
661,Food,44.25,97
662,Books,83.49,1
663,Books,26.48,89
664,Technology,285.06,79
665,Technology,314.99,57
666,Food,149.3,72
667,Technology,218.55,90
668,Food,460.12,45
669,Clothing,497.88,92
670,Books,170.65,91
671,Food,72.31,3
672,Books,115.25,61
673,Clothing,49.95,34
674,Food,292.99,66
675,Food,254.15,75
676,Clothing,122.18,9
677,Books,188.02,71
678,Books,493.99,41
679,Books,230.19,70
680,Technology,246.5,63
681,Food,16.52,73
682,Food,210.54,62
683,Food,333.64,15
684,Books,95.05,26
685,Clothing,415.36,89
686,Books,499.24,22
687,Technology,493.74,6
688,Technology,171.61,29
689,Technology,59.25,51
690,Clothing,409.63,16
691,Clothing,170.67,11
692,Food,103.88,19
693,Technology,403.98,27
694,Clothing,277.36,58
695,Food,169.25,21
696,Books,239.91,29
697,Technology,333.51,80
698,Clothing,456.91,65
699,Food,282.94,36
700,Books,380.29,100
701,Clothing,261.91,34
702,Clothing,79.84,38
703,Clothing,315.76,20
704,Clothing,355.71,40
705,Books,414.25,80
706,Clothing,431.77,62
707,Books,194.9,89
708,Food,242.55,71
709,Books,268.13,53
710,Books,206.34,60
711,Food,162.97,63
712,Technology,337.98,2
713,Clothing,392.18,13
714,Clothing,496.91,40
715,Food,115.32,93
716,Technology,254.29,11
717,Technology,118.32,62
718,Books,121.75,65
719,Clothing,433.66,84
720,Books,282.79,88
721,Books,224.95,94
722,Food,339.59,58
723,Technology,154.84,51
724,Technology,379.18,100
725,Clothing,330.59,27
726,Technology,247.86,67
727,Clothing,187.25,42
728,Books,38.55,43
729,Books,88.8,5
730,Technology,298.46,75
731,Books,412.53,45
732,Books,207.91,39
733,Technology,489.15,12
734,Food,178.72,86
735,Food,262.53,79
736,Clothing,498.78,67
737,Clothing,337.79,1
738,Clothing,388.32,94
739,Food,382.2,60
740,Food,105.76,97
741,Clothing,124.71,33
742,Technology,493.92,26
743,Food,153.91,58
744,Technology,92.3,97
745,Food,133.34,47
746,Books,243.89,73
747,Food,225.09,53
748,Clothing,395.54,21
749,Food,20.57,62
750,Books,242.23,6
751,Books,347.96,71
752,Technology,197.38,89
753,Books,133.32,77
754,Technology,81.17,62
755,Clothing,51.66,69
756,Food,336.36,2
757,Books,36.28,46
758,Books,129.04,13
759,Books,82.22,9
760,Books,52.02,94
761,Food,398.74,74
762,Food,206.97,15
763,Clothing,212.64,56
764,Clothing,73.08,22
765,Technology,222.78,72
766,Clothing,300.94,28
767,Clothing,334.96,92
768,Clothing,474.06,19
769,Technology,374.56,74
770,Books,327.61,75
771,Food,197.34,88
772,Books,429.11,71
773,Food,469.05,57
774,Clothing,248.75,77
775,Food,407.96,69
776,Food,456.1,74
777,Clothing,339.31,69
778,Clothing,79.47,38
779,Books,210.62,64
780,Books,36.77,85
781,Food,395.17,68
782,Books,424.99,100
783,Food,429.92,82
784,Food,222.45,81
785,Books,260.04,50
786,Clothing,366.31,91
787,Books,229.09,59
788,Books,147.34,59
789,Clothing,466.23,96
790,Food,341.45,65
791,Food,17.68,84
792,Technology,456.64,17
793,Books,117.95,62
794,Books,41.64,78
795,Food,103.52,99
796,Clothing,196.26,54
797,Clothing,490.7,6
798,Clothing,10.42,22
799,Technology,291.43,84
800,Technology,353.49,33
801,Technology,222.75,4
802,Clothing,247.16,9
803,Food,400.7,88
804,Technology,181.87,56
805,Clothing,94.62,49
806,Food,140.24,68
807,Technology,266.35,80
808,Books,179.58,24
809,Food,424.43,9
810,Food,325.35,30
811,Clothing,490.58,9
812,Clothing,75.22,95
813,Food,34.86,77
814,Technology,417.1,23
815,Clothing,191.4,43
816,Food,299.87,99
817,Food,20.22,65
818,Food,264.53,84
819,Clothing,39.04,46
820,Technology,112.24,64
821,Clothing,275.88,93
822,Food,234.14,26
823,Technology,114.12,81
824,Food,54.22,19
825,Technology,296.27,94
826,Food,489.84,15
827,Technology,28.41,25
828,Clothing,275.02,16
829,Technology,100.77,60
830,Technology,491.78,61
831,Food,207.01,61
832,Books,134.26,66
833,Clothing,452.8,54
834,Food,81.79,39
835,Clothing,294.62,58
836,Food,245.09,18
837,Food,473.66,90
838,Food,225.71,3
839,Books,103.45,88
840,Clothing,385.04,48
841,Food,227.06,65
842,Books,494.71,30
843,Food,363.19,55
844,Clothing,273.62,75
845,Food,163.27,49
846,Clothing,68.01,51
847,Books,117.72,100
848,Books,139.45,50
849,Technology,129.2,33
850,Books,267.92,40
851,Books,226.49,21
852,Clothing,385.63,43
853,Technology,248.8,65
854,Books,428.32,38
855,Books,325.18,76
856,Books,355.74,78
857,Clothing,322.52,1
858,Technology,171.1,8
859,Books,75.46,91
860,Food,244.7,26
861,Technology,59.94,45
862,Books,371.84,62
863,Food,249.37,53
864,Food,272.37,70
865,Technology,20.89,75
866,Clothing,482.9,18
867,Food,403.91,89
868,Food,347.4,75
869,Clothing,399.06,39
870,Clothing,437.13,40
871,Books,332.1,2
872,Clothing,198.43,74
873,Technology,332.77,76
874,Food,114.94,27
875,Technology,232.13,51
876,Technology,309.43,36
877,Food,479.1,5
878,Clothing,384.15,66
879,Food,48.0,35
880,Books,280.13,80
881,Technology,331.18,38
882,Food,282.75,43
883,Books,144.03,94
884,Books,497.09,11
885,Technology,90.29,69
886,Technology,195.74,57
887,Clothing,256.06,90
888,Food,151.71,67
889,Food,205.05,59
890,Technology,194.51,61
891,Technology,63.47,89
892,Technology,486.78,64
893,Food,211.76,30
894,Food,439.12,84
895,Technology,158.69,76
896,Clothing,455.84,19
897,Clothing,146.4,23
898,Food,78.24,33
899,Technology,124.05,78
900,Food,172.02,2
901,Clothing,298.57,1
902,Books,311.34,37
903,Technology,126.64,85
904,Food,428.22,80
905,Books,69.18,84
906,Technology,472.34,41
907,Clothing,174.86,31
908,Technology,47.7,28
909,Technology,77.84,82
910,Food,82.61,3
911,Books,235.02,37
912,Books,434.64,21
913,Books,293.64,37
914,Clothing,421.9,12
915,Books,469.29,49
916,Food,104.76,3
917,Food,298.47,16
918,Clothing,368.65,74
919,Books,206.64,53
920,Clothing,404.59,42
921,Food,236.47,76
922,Books,102.12,71
923,Books,75.86,79
924,Books,378.97,91
925,Books,225.25,17
926,Books,50.19,82
927,Food,126.61,64
928,Books,404.73,56
929,Books,280.62,41
930,Technology,95.31,37
931,Food,454.91,53
932,Books,135.83,95
933,Technology,373.86,15
934,Books,350.79,12
935,Food,369.33,55
936,Food,176.81,17
937,Clothing,482.47,68
938,Food,492.19,19
939,Food,142.46,34
940,Food,104.85,97
941,Technology,430.94,75
942,Clothing,63.93,73
943,Technology,65.82,8
944,Books,441.97,26
945,Technology,54.22,30
946,Technology,499.97,10
947,Books,464.72,82
948,Clothing,13.65,10
949,Technology,306.49,30
950,Food,10.41,28
951,Clothing,492.93,61
952,Technology,91.86,85
953,Technology,402.72,76
954,Technology,50.26,53
955,Technology,152.71,42
956,Clothing,30.52,92
957,Food,383.57,74
958,Books,323.56,38
959,Clothing,479.75,70
960,Clothing,329.04,5
961,Technology,224.24,28
962,Technology,94.55,24
963,Food,25.56,60
964,Clothing,128.46,62
965,Books,493.05,50
966,Food,131.33,47
967,Technology,290.26,12
968,Technology,311.2,92
969,Clothing,321.34,48
970,Technology,453.57,64
971,Technology,416.56,85
972,Clothing,381.49,90
973,Books,225.89,33
974,Books,105.84,11
975,Clothing,362.53,66
976,Technology,285.33,65
977,Food,280.42,79
978,Clothing,453.6,10
979,Books,442.88,11
980,Clothing,365.96,62
981,Food,103.99,19
982,Food,134.35,84
983,Food,255.31,83
984,Clothing,297.01,66
985,Clothing,133.0,10
986,Clothing,260.16,53
987,Technology,321.93,6
988,Clothing,196.76,11
989,Food,175.85,22
990,Books,425.46,26
991,Technology,456.44,60
992,Clothing,320.92,94
993,Food,168.92,25
994,Clothing,490.54,71
995,Clothing,146.0,30
996,Books,403.14,19
997,Clothing,132.8,2
998,Food,352.44,6
999,Books,77.9,18
1000,Books,269.37,32
