id,region,product_id,sales,date
296,Central,399,469,2023-12-15
297,East,148,23,2023-11-01
298,Central,262,77,2023-08-15
299,Central,101,237,2023-07-10
300,Central,228,191,2023-08-09
301,East,263,315,2023-04-14
302,South,425,259,2023-07-08
303,East,493,196,2023-12-12
304,West,480,338,2023-06-03
305,Central,161,89,2023-03-27
306,North,429,90,2023-05-03
307,Central,324,443,2023-12-13
308,East,430,492,2023-04-06
309,West,230,388,2023-09-16
310,Central,291,394,2023-05-23
311,North,160,23,2023-11-14
312,West,193,349,2023-03-22
313,Central,440,486,2023-09-13
314,South,271,251,2023-03-05
315,South,376,302,2023-11-23
316,North,177,487,2023-06-05
317,Central,234,169,2023-01-09
318,North,428,298,2023-09-03
319,South,472,11,2023-12-08
320,East,352,287,2023-05-15
321,North,490,157,2023-11-24
322,South,392,360,2023-07-05
323,South,281,335,2023-03-07
324,West,108,345,2023-07-03
325,North,313,61,2023-06-09
326,Central,457,74,2023-08-02
327,South,207,146,2023-11-06
328,East,269,65,2023-08-11
329,West,328,40,2023-12-17
330,East,233,115,2023-07-13
331,West,412,73,2023-04-14
332,Central,195,392,2023-01-01
333,Central,212,88,2023-03-08
334,South,272,401,2023-07-18
335,East,129,35,2023-06-01
336,West,299,292,2023-07-15
337,South,449,71,2023-08-28
338,South,389,184,2023-05-14
339,Central,209,418,2023-11-23
340,East,402,387,2023-02-15
341,North,231,403,2023-06-26
342,Central,363,30,2023-01-13
343,South,137,181,2023-03-24
344,East,494,320,2023-07-15
345,East,411,160,2023-10-26
346,North,215,68,2023-11-16
347,South,402,88,2023-09-04
348,West,269,180,2023-03-18
349,North,429,306,2023-12-13
350,Central,367,192,2023-01-23
351,West,245,493,2023-03-03
352,Central,221,395,2023-05-19
353,Central,407,110,2023-03-02
354,North,492,299,2023-02-27
355,Central,302,168,2023-06-09
356,Central,270,101,2023-01-03
357,South,446,381,2023-01-25
358,North,279,146,2023-03-09
359,East,226,301,2023-05-09
360,West,288,378,2023-06-11
361,Central,357,199,2023-02-26
362,Central,408,200,2023-04-28
363,East,443,10,2023-04-16
364,West,204,108,2023-03-19
365,West,229,485,2023-07-24
366,East,462,469,2023-10-26
367,North,321,139,2023-05-02
368,South,252,351,2023-01-11
369,West,336,492,2023-09-04
370,East,477,378,2023-12-02
371,North,213,41,2023-02-25
372,East,194,256,2023-01-24
373,North,414,172,2023-11-06
374,West,118,454,2023-01-12
375,Central,229,210,2023-01-17
376,North,326,248,2023-06-13
377,South,171,96,2023-11-10
378,East,416,112,2023-04-01
379,East,177,184,2023-01-23
380,East,215,195,2023-04-11
381,West,332,275,2023-02-08
382,Central,197,90,2023-02-06
383,Central,218,130,2023-02-28
384,East,431,34,2023-02-27
385,West,351,136,2023-04-11
386,Central,191,446,2023-11-14
387,East,115,267,2023-10-21
388,East,132,475,2023-08-19
389,South,176,171,2023-01-10
390,South,282,205,2023-06-16
391,North,492,310,2023-11-11
392,South,126,391,2023-10-25
393,North,156,184,2023-05-15
394,South,216,112,2023-08-14
395,North,339,98,2023-06-26
396,North,112,435,2023-10-27
397,West,369,173,2023-02-14
398,South,154,40,2023-05-03
399,South,192,147,2023-06-15
400,South,161,341,2023-10-18
401,North,335,37,2023-07-10
402,South,169,487,2023-06-12
403,Central,331,283,2023-08-10
404,North,146,299,2023-06-28
405,East,132,179,2023-06-08
406,Central,192,348,2023-06-09
407,East,457,398,2023-02-14
408,West,113,181,2023-05-23
409,North,458,376,2023-04-19
410,West,483,356,2023-07-06
411,East,122,308,2023-09-19
412,Central,229,488,2023-08-15
413,Central,302,488,2023-04-14
414,West,289,484,2023-12-05
415,South,316,495,2023-03-17
416,West,328,422,2023-09-26
417,West,279,449,2023-09-12
418,North,255,39,2023-07-08
419,South,116,89,2023-07-16
420,North,412,372,2023-12-02
421,South,407,109,2023-03-26
422,South,161,438,2023-08-26
423,West,487,447,2023-11-25
424,Central,405,486,2023-03-18
425,North,232,493,2023-08-02
426,West,148,176,2023-11-04
427,East,167,16,2023-03-21
428,Central,211,232,2023-02-28
429,East,216,214,2023-12-12
430,North,103,230,2023-04-10
431,South,390,380,2023-11-22
432,North,311,424,2023-11-04
433,East,280,348,2023-03-16
434,East,273,275,2023-06-20
435,West,277,279,2023-05-18
436,North,361,321,2023-03-27
437,East,325,117,2023-11-04
438,North,343,327,2023-04-01
439,Central,497,339,2023-02-10
440,Central,292,22,2023-08-08
441,North,182,59,2023-04-19
442,North,488,431,2023-09-21
443,East,469,318,2023-04-15
444,East,352,118,2023-08-23
445,East,288,291,2023-05-19
446,West,479,125,2023-06-15
447,East,177,188,2023-03-01
448,South,250,115,2023-09-14
449,Central,427,428,2023-01-02
450,East,251,355,2023-07-08
451,West,334,439,2023-09-11
452,East,417,446,2023-05-24
453,South,182,219,2023-03-24
454,West,307,288,2023-01-01
455,East,328,328,2023-12-11
456,West,447,332,2023-08-17
457,East,239,113,2023-03-19
458,Central,411,242,2023-04-06
459,West,156,30,2023-02-06
460,Central,135,355,2023-02-21
461,East,415,94,2023-04-06
462,East,275,232,2023-05-21
463,West,389,150,2023-11-12
464,North,189,270,2023-05-09
465,South,305,87,2023-09-01
466,West,204,37,2023-12-17
467,South,299,114,2023-09-16
468,South,330,184,2023-01-08
469,East,472,360,2023-09-20
470,North,360,269,2023-12-12
471,West,253,322,2023-09-15
472,Central,452,87,2023-11-27
473,East,464,404,2023-09-23
474,North,331,154,2023-04-17
475,South,481,140,2023-10-04
476,South,329,64,2023-11-26
477,East,115,240,2023-12-08
478,West,146,53,2023-06-19
479,South,203,387,2023-05-08
480,South,440,168,2023-07-27
481,East,234,192,2023-08-20
482,West,482,499,2023-10-09
483,North,335,118,2023-07-24
484,East,292,126,2023-03-09
485,North,478,182,2023-09-10
486,South,173,12,2023-11-14
487,East,394,401,2023-08-19
488,East,147,249,2023-06-16
489,South,201,408,2023-06-22
490,North,296,428,2023-07-24
491,North,364,437,2023-11-16
492,West,291,343,2023-06-09
493,West,384,439,2023-06-26
494,North,173,373,2023-06-10
495,North,326,115,2023-09-14
496,South,210,204,2023-01-15
497,Central,475,76,2023-09-09
498,North,221,21,2023-12-08
499,South,244,248,2023-09-19
500,North,333,257,2023-05-11
501,East,408,257,2023-08-13
502,Central,189,474,2023-02-25
503,North,126,21,2023-10-04
504,North,500,425,2023-07-25
505,South,122,67,2023-05-12
506,West,115,494,2023-07-04
507,West,207,344,2023-03-12
508,South,465,115,2023-10-18
509,South,343,390,2023-05-27
510,East,300,189,2023-11-03
511,North,236,204,2023-04-07
512,West,188,118,2023-10-15
513,West,160,82,2023-11-18
514,East,423,199,2023-06-06
515,North,205,26,2023-05-06
516,Central,208,494,2023-12-20
517,East,218,411,2023-08-26
518,South,141,315,2023-10-06
519,East,135,80,2023-08-03
520,North,296,53,2023-11-11
521,East,123,277,2023-07-06
522,West,307,361,2023-06-18
523,West,310,147,2023-06-17
524,South,476,317,2023-02-15
525,South,334,124,2023-03-25
526,South,117,216,2023-11-17
527,South,450,304,2023-11-26
528,South,487,171,2023-09-02
529,Central,349,145,2023-09-26
530,South,364,373,2023-01-08
531,South,218,214,2023-04-19
532,West,171,228,2023-08-05
533,East,431,294,2023-06-15
534,West,437,177,2023-09-07
535,North,433,415,2023-10-07
536,North,103,180,2023-04-21
537,East,181,180,2023-09-06
538,South,167,91,2023-07-03
539,North,247,38,2023-10-02
540,Central,276,152,2023-04-15
541,West,127,36,2023-02-05
542,North,370,77,2023-12-21
543,East,489,480,2023-04-24
544,West,193,223,2023-11-10
545,East,174,482,2023-08-04
546,East,380,303,2023-04-02
547,North,374,319,2023-09-27
548,West,213,467,2023-08-05
549,South,436,258,2023-09-10
550,West,431,155,2023-12-17
551,East,205,149,2023-08-11
552,Central,499,178,2023-09-09
553,East,345,496,2023-04-03
554,South,193,175,2023-12-25
555,Central,298,260,2023-04-22
556,East,367,118,2023-08-24
557,West,450,212,2023-10-27
558,West,498,260,2023-01-24
559,West,219,148,2023-12-19
560,West,420,483,2023-01-01
561,West,395,496,2023-10-23
562,Central,327,341,2023-03-01
563,South,211,172,2023-08-14
564,North,309,277,2023-07-01
565,Central,364,416,2023-08-05
566,West,116,317,2023-06-12
567,Central,105,46,2023-08-05
568,South,122,432,2023-12-26
569,West,188,323,2023-02-25
570,East,389,361,2023-09-06
571,North,445,282,2023-08-15
572,Central,234,21,2023-01-13
573,North,428,39,2023-03-11
574,East,349,277,2023-02-07
575,West,227,43,2023-05-09
576,South,348,364,2023-06-03
577,West,217,438,2023-12-22
578,North,213,20,2023-06-12
579,North,271,215,2023-04-15
580,Central,403,164,2023-11-23
581,North,241,468,2023-07-23
582,West,467,424,2023-08-24
583,West,150,335,2023-03-11
584,East,153,332,2023-03-02
585,North,387,277,2023-10-01
586,North,202,37,2023-03-03
587,North,101,120,2023-09-02
588,East,485,119,2023-11-12
589,West,374,213,2023-10-16
590,South,381,459,2023-05-13
591,South,459,498,2023-11-07
592,South,414,20,2023-11-04
593,South,220,85,2023-07-15
594,West,350,258,2023-02-14
595,North,450,221,2023-06-12
596,South,304,94,2023-07-05
597,South,243,188,2023-01-04
598,North,296,154,2023-08-24
599,South,221,34,2023-10-19
600,Central,344,69,2023-07-06
601,South,337,50,2023-06-23
602,North,367,87,2023-09-05
603,West,142,434,2023-03-20
604,West,198,428,2023-01-16
605,South,478,373,2023-06-14
606,North,290,309,2023-11-26
607,East,194,420,2023-06-28
608,Central,200,10,2023-04-16
609,East,372,38,2023-07-03
610,Central,325,396,2023-02-12
611,East,291,261,2023-12-06
612,West,285,428,2023-02-10
613,North,260,330,2023-10-12
614,South,421,489,2023-03-25
615,Central,134,254,2023-06-09
616,East,318,317,2023-08-02
617,East,405,94,2023-07-13
618,North,152,212,2023-11-07
619,Central,158,285,2023-04-17
620,North,104,38,2023-11-04
621,South,412,233,2023-01-13
622,West,429,460,2023-11-06
623,North,342,266,2023-05-08
624,West,141,57,2023-03-09
625,East,406,233,2023-08-06
626,North,495,199,2023-07-19
627,South,115,293,2023-03-04
628,South,241,68,2023-02-03
629,West,159,96,2023-01-13
630,Central,200,219,2023-09-05
631,West,248,425,2023-11-08
632,East,172,112,2023-10-03
633,West,285,416,2023-10-19
634,North,280,80,2023-02-12
635,East,198,251,2023-08-05
636,West,451,339,2023-08-05
637,West,391,201,2023-08-18
638,East,411,333,2023-06-12
639,West,210,61,2023-11-18
640,Central,448,492,2023-08-25
641,West,348,22,2023-11-26
642,West,396,68,2023-12-07
643,South,169,272,2023-08-08
644,Central,139,89,2023-06-18
645,South,467,188,2023-05-24
646,Central,162,361,2023-11-21
647,Central,222,46,2023-05-16
648,East,139,460,2023-11-17
649,West,372,233,2023-01-28
650,Central,324,488,2023-11-16
651,West,349,175,2023-02-05
652,North,148,139,2023-05-23
653,East,420,274,2023-08-18
654,Central,272,488,2023-06-02
655,South,477,333,2023-04-14
656,Central,196,106,2023-02-01
657,West,487,366,2023-10-17
658,North,337,40,2023-03-25
659,West,420,162,2023-12-01
660,North,386,65,2023-01-19
661,East,215,97,2023-08-01
662,East,276,200,2023-05-11
663,West,211,467,2023-02-15
664,North,450,470,2023-08-22
665,North,429,482,2023-12-16
666,West,237,52,2023-10-22
667,Central,170,19,2023-02-05
668,Central,349,278,2023-03-28
669,Central,248,358,2023-07-24
670,East,406,132,2023-04-05
671,West,336,369,2023-03-01
672,South,202,278,2023-07-18
673,West,324,378,2023-10-10
674,East,257,160,2023-09-23
675,West,276,397,2023-05-18
676,Central,257,470,2023-08-17
677,East,410,275,2023-06-13
678,Central,193,331,2023-08-23
679,West,141,172,2023-07-27
680,North,314,196,2023-08-11
681,East,198,422,2023-08-02
682,West,280,360,2023-01-10
683,North,465,87,2023-08-04
684,West,157,420,2023-03-14
685,Central,348,311,2023-01-26
686,South,423,68,2023-09-09
687,Central,372,233,2023-01-15
688,West,315,352,2023-02-09
689,East,242,215,2023-09-12
690,South,348,382,2023-08-18
691,South,454,99,2023-11-25
692,North,421,65,2023-07-06
693,West,252,494,2023-03-08
694,West,248,151,2023-05-28
695,West,177,454,2023-02-20
696,East,208,328,2023-05-02
697,South,326,267,2023-06-26
698,Central,215,402,2023-04-27
699,North,375,245,2023-12-20
700,West,432,198,2023-05-06
701,North,387,154,2023-10-04
702,West,393,324,2023-10-28
703,North,129,230,2023-10-01
704,North,187,205,2023-05-16
705,East,424,98,2023-03-02
706,North,180,186,2023-01-19
707,Central,459,192,2023-12-10
708,Central,215,306,2023-07-12
709,North,108,15,2023-06-27
710,East,157,32,2023-06-04
711,East,430,88,2023-01-08
712,South,286,298,2023-04-12
713,East,278,89,2023-08-17
714,South,378,465,2023-03-15
715,South,255,364,2023-03-26
716,East,102,194,2023-01-03
717,West,255,378,2023-04-26
718,Central,205,173,2023-12-15
719,West,222,443,2023-02-28
720,Central,383,185,2023-09-02
721,Central,159,306,2023-07-05
722,South,107,184,2023-03-12
723,South,479,271,2023-03-18
724,North,120,153,2023-08-01
725,West,220,483,2023-01-14
726,Central,416,417,2023-01-23
727,West,185,266,2023-05-04
728,East,403,209,2023-07-13
729,East,345,147,2023-01-25
730,East,156,191,2023-03-28
731,South,144,81,2023-08-18
732,Central,180,333,2023-11-03
733,East,480,406,2023-09-14
734,East,405,405,2023-01-26
735,North,140,464,2023-05-23
736,North,490,151,2023-07-11
737,West,357,51,2023-04-17
738,West,471,234,2023-12-28
739,South,197,166,2023-09-08
740,East,272,441,2023-06-20
741,North,200,478,2023-01-27
742,East,374,428,2023-12-24
743,Central,215,52,2023-04-28
744,East,209,351,2023-03-07
745,West,286,132,2023-07-12
746,West,166,492,2023-11-14
747,South,385,54,2023-07-17
748,South,188,330,2023-01-16
749,South,300,38,2023-11-08
750,North,403,138,2023-01-21
751,South,358,405,2023-11-24
752,East,169,280,2023-11-13
753,West,198,369,2023-02-17
754,South,137,356,2023-01-08
755,West,314,362,2023-03-25
756,South,403,474,2023-07-17
757,Central,439,439,2023-10-05
758,East,292,215,2023-03-07
759,Central,466,393,2023-10-10
760,North,324,443,2023-07-22
761,North,298,313,2023-06-27
762,East,384,218,2023-06-17
763,East,410,481,2023-05-19
764,East,420,328,2023-06-20
765,South,419,156,2023-03-19
766,West,393,158,2023-11-07
767,West,401,85,2023-03-01
768,North,220,316,2023-01-11
769,Central,355,388,2023-05-06
770,North,195,203,2023-06-24
771,East,379,337,2023-07-19
772,North,488,347,2023-05-12
773,West,181,30,2023-12-13
774,South,305,307,2023-06-21
775,West,130,149,2023-08-02
776,North,247,474,2023-11-08
777,South,313,194,2023-01-12
778,Central,415,78,2023-01-01
779,West,220,318,2023-01-19
780,East,131,263,2023-07-09
781,West,451,435,2023-10-03
782,South,131,282,2023-11-09
783,North,142,320,2023-02-08
784,West,246,136,2023-01-21
785,North,359,293,2023-03-11
786,South,484,25,2023-03-22
787,West,450,418,2023-04-25
788,East,145,307,2023-07-22
789,West,139,145,2023-08-24
790,South,307,118,2023-05-16
791,Central,147,438,2023-12-15
792,West,300,24,2023-06-05
793,North,211,415,2023-03-21
794,North,338,117,2023-04-21
795,North,134,324,2023-08-07
796,North,457,362,2023-06-25
797,West,447,164,2023-04-14
798,Central,375,297,2023-06-02
799,East,221,493,2023-01-03
800,West,200,339,2023-11-02
801,North,391,450,2023-02-23
802,East,144,407,2023-05-09
803,West,482,237,2023-01-07
804,Central,469,359,2023-03-04
805,North,276,173,2023-09-08
806,East,107,120,2023-02-15
807,Central,188,137,2023-10-11
808,South,361,370,2023-04-08
809,East,279,151,2023-06-23
810,West,122,445,2023-08-15
811,East,489,12,2023-06-28
812,South,334,495,2023-02-04
813,Central,476,59,2023-10-15
814,North,256,150,2023-06-11
815,North,369,94,2023-12-24
816,North,233,17,2023-06-20
817,East,386,162,2023-03-05
818,North,211,439,2023-09-12
819,East,169,208,2023-07-10
820,East,283,154,2023-09-12
821,West,174,145,2023-11-16
822,West,148,285,2023-08-15
823,West,257,150,2023-03-20
824,South,259,415,2023-04-19
825,North,180,17,2023-06-07
826,South,461,464,2023-07-13
827,North,409,474,2023-09-11
828,Central,279,393,2023-11-13
829,South,108,36,2023-05-16
830,East,493,487,2023-10-23
831,East,324,480,2023-02-09
832,South,300,181,2023-05-20
833,East,144,412,2023-11-24
834,Central,316,277,2023-06-19
835,Central,455,330,2023-02-21
836,North,458,279,2023-10-26
837,Central,362,155,2023-06-13
838,West,150,117,2023-08-23
839,East,205,230,2023-04-21
840,West,435,131,2023-05-08
841,North,294,456,2023-10-13
842,West,378,51,2023-05-16
843,Central,259,456,2023-05-03
844,West,492,96,2023-05-06
845,East,442,223,2023-09-08
846,West,448,164,2023-02-13
847,South,413,370,2023-01-16
848,South,230,36,2023-09-28
849,North,464,482,2023-09-28
850,Central,388,196,2023-06-11
851,West,224,25,2023-03-01
852,East,132,399,2023-11-25
853,Central,236,295,2023-09-22
854,West,284,93,2023-08-25
855,East,421,171,2023-11-15
856,East,232,277,2023-04-11
857,East,452,151,2023-03-24
858,West,229,22,2023-05-05
859,North,421,92,2023-10-05
860,East,500,460,2023-03-08
861,East,249,199,2023-11-12
862,West,102,323,2023-02-09
863,East,361,12,2023-04-13
864,East,116,454,2023-04-02
865,East,106,202,2023-04-16
866,South,253,360,2023-06-08
867,North,170,160,2023-05-15
868,North,127,250,2023-02-01
869,West,469,358,2023-08-18
870,East,195,20,2023-12-23
871,East,464,339,2023-02-16
872,East,266,69,2023-02-28
873,West,425,294,2023-01-03
874,South,148,177,2023-12-22
875,East,159,410,2023-04-24
876,South,110,264,2023-04-03
877,West,382,70,2023-09-02
878,East,204,473,2023-05-19
879,West,372,45,2023-12-21
880,East,350,46,2023-12-21
881,South,214,217,2023-07-28
882,North,373,230,2023-10-12
883,North,362,266,2023-08-19
884,West,448,216,2023-04-06
885,South,294,228,2023-02-10
886,South,252,34,2023-05-27
887,East,279,328,2023-09-25
888,East,388,200,2023-02-27
889,North,312,220,2023-11-01
890,North,498,429,2023-11-04
891,West,329,65,2023-04-14
892,North,151,378,2023-12-06
893,North,114,249,2023-09-03
894,South,288,286,2023-12-11
895,West,176,164,2023-03-25
896,West,332,191,2023-04-27
897,East,420,102,2023-08-07
898,West,284,423,2023-07-02
899,Central,325,374,2023-06-03
900,South,480,378,2023-05-05
901,East,172,162,2023-07-17
902,Central,212,244,2023-09-19
903,East,101,113,2023-11-28
904,South,223,232,2023-06-08
905,East,200,227,2023-06-14
906,West,270,158,2023-07-20
907,Central,483,276,2023-12-27
908,East,466,380,2023-02-08
909,West,102,393,2023-06-27
910,East,112,149,2023-02-03
911,West,247,400,2023-11-03
912,West,424,376,2023-03-05
913,South,183,471,2023-04-25
914,East,470,484,2023-04-20
915,Central,133,50,2023-10-18
916,South,240,33,2023-12-14
917,Central,256,474,2023-03-20
918,South,130,467,2023-04-21
919,North,328,140,2023-08-28
920,West,299,179,2023-11-14
